DATOS_CONSULTA;RUT=77575300-5;TIPO_CONSULTA=DEUDOR;DESDE_DDMMAAAA=01072026;HASTA_DDMMAAAA=31072026 23:59:59
VENDEDOR;ESTADO_CESION;DEUDOR;MAIL_DEUDOR;TIPO_DOC;NOMBRE_DOC;FOLIO_DOC;FCH_EMIS_DTE;MNT_TOTAL;CEDENTE;RZ_CEDENTE;MAIL_CEDENTE;CESIONARIO;RZ_CESIONARIO;MAIL_CESIONARIO;FCH_CESION;MNT_CESION;FCH_VENCIMIENTO;ID_CESION
76376142-8;Cesion Vigente;77575300-5;jmontecinos@eltit.cl;33;Factura Electronica;2582;2026-07-03;1789308;76376142-8;ACTYON SPA;ACTYONSPA@GMAIL.COM;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-03T10:14:35;1789308;2026-08-02;52049924
76376142-8;Cesion Vigente;77575300-5;jmontecinos@gmail.com;33;Factura Electronica;2583;2026-07-06;1246248;76376142-8;ACTYON SPA;actyonspa@gmail.com;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-06T13:31:33;1246248;2026-08-05;52077681
76856463-9;Cesion Vigente;77575300-5;eltit_dte_09@empresaseltit.cl;33;Factura Electronica;64349;2026-07-07;85680;76856463-9;COMERCIAL KUPPEL SPA;bmeza@kuppel.cl;99580240-6;ACF CAPITAL S A ;cesiones@abstrahere.com;2026-07-07T18:53:24;85680;2026-07-07;52101914
76519713-9;Cesion Vigente;77575300-5;JMONTECINOS@ELTIT.CL;33;Factura Electronica;3125;2026-07-08;1266031;76519713-9;AM DECO SPA;AMDECOSPA@GMAIL.COM;76682670-9;SERVICIOS FINANCIEROS GEROS LIMITADA;AMDECOSPA@GMAIL.COM;2026-07-08T13:04:18;1266031;2026-08-22;52111311
76376142-8;Cesion Vigente;77575300-5;jmontecinos@eltit.cl;33;Factura Electronica;2584;2026-07-08;536928;76376142-8;ACTYON SPA;actyonspa@gmail.com;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-08T13:07:51;536928;2026-08-07;52111411
76376142-8;Cesion Vigente;77575300-5;jmontecinos@eltit.cl;33;Factura Electronica;2585;2026-07-08;357952;76376142-8;ACTYON SPA;actyonspa@gmail.com;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-08T13:08:09;357952;2026-08-07;52111428
76376142-8;Cesion Vigente;77575300-5;jmontecinos@eltit.cl;33;Factura Electronica;2586;2026-07-10;660000;76376142-8;ACTYON SPA;actyonspa@gmail.com;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-10T11:35:19;660000;2026-08-09;52147018
76519713-9;Cesion Vigente;77575300-5;JMONTECINOS@ELTIT.CL;33;Factura Electronica;3127;2026-07-14;1854478;76519713-9;AM DECO SPA;AMDECOSPA@GMAIL.COM;76682670-9;SERVICIOS FINANCIEROS GEROS LIMITADA;AMDECOSPA@GMAIL.COM;2026-07-14T10:37:20;1854478;2026-08-28;52180671
76519713-9;Cesion Vigente;77575300-5;JMONTECINOS@ELTIT.CL;33;Factura Electronica;3128;2026-07-14;2866777;76519713-9;AM DECO SPA;AMDECOSPA@GMAIL.COM;76682670-9;SERVICIOS FINANCIEROS GEROS LIMITADA;AMDECOSPA@GMAIL.COM;2026-07-14T10:37:32;2866777;2026-08-28;52180667
76519713-9;Cesion Vigente;77575300-5;JMONTECINOS@ELTIT.CL;33;Factura Electronica;3129;2026-07-20;3232802;76519713-9;AM DECO SPA;AMDECOSPA@GMAIL.COM;76682670-9;SERVICIOS FINANCIEROS GEROS LIMITADA;AMDECOSPA@GMAIL.COM;2026-07-20T15:24:18;3232802;2026-09-03;52249682
76519713-9;Cesion Vigente;77575300-5;JMONTECINOS@ELTIT.CL;33;Factura Electronica;3130;2026-07-20;1302146;76519713-9;AM DECO SPA;AMDECOSPA@GMAIL.COM;76682670-9;SERVICIOS FINANCIEROS GEROS LIMITADA;AMDECOSPA@GMAIL.COM;2026-07-20T15:24:56;1302146;2026-09-03;52249690
77859490-0;Cesion Vigente;77575300-5;;33;Factura Electronica;242232;2026-07-20;902665;77859490-0;NOVOPLAST SPA;fwestermeyer@novoplast.cl;76111453-0;Go Capital SPA;scontardo@go.cl;2026-07-21T12:28:02;902665;2026-07-20;52263625
77859490-0;Cesion Vigente;77575300-5;;33;Factura Electronica;242259;2026-07-20;3282972;77859490-0;NOVOPLAST SPA;fwestermeyer@novoplast.cl;76111453-0;Go Capital SPA;scontardo@go.cl;2026-07-21T12:29:51;3282972;2026-07-20;52263686
76376142-8;Cesion Vigente;77575300-5;JMONTECINOS@ELTIT.CL;33;Factura Electronica;2587;2026-07-22;1764799;76376142-8;ACTYON SPA;ACTYONSPA@GMAIL.COM;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-22T14:26:12;1764799;2026-08-21;52278890
76376142-8;Cesion Vigente;77575300-5;JMONTECINOS@ELTIT.CL;33;Factura Electronica;2588;2026-07-22;1318008;76376142-8;ACTYON SPA;ACTYONSPA@GMAIL.COM;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-22T14:26:23;1318008;2026-08-21;52278895
76376142-8;Cesion Vigente;77575300-5;JMONTECINOS@ELTIT.CL;33;Factura Electronica;2589;2026-07-22;1469663;76376142-8;ACTYON SPA;ACTYONSPA@GMAIL.COM;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-22T14:26:32;1469663;2026-08-21;52278900
77859490-0;Cesion Vigente;77575300-5;;33;Factura Electronica;242366;2026-07-22;2655691;77859490-0;NOVOPLAST SPA;fwestermeyer@novoplast.cl;76111453-0;Go Capital SPA;scontardo@go.cl;2026-07-23T11:15:59;2655691;2026-07-22;52288349
76856463-9;Cesion Vigente;77575300-5;;33;Factura Electronica;64961;2026-07-23;2012242;76856463-9;COMERCIAL KUPPEL SPA;bmeza@kuppel.cl;99580240-6;ACF CAPITAL S A ;factura@acfcapital.cl;2026-07-27T09:24:27;2012242;2026-07-23;52317215
76856463-9;Cesion Vigente;77575300-5;;33;Factura Electronica;64960;2026-07-23;1089928;76856463-9;COMERCIAL KUPPEL SPA;bmeza@kuppel.cl;99580240-6;ACF CAPITAL S A ;factura@acfcapital.cl;2026-07-27T09:24:31;1089928;2026-07-23;52317228
92065000-7;Cesion Vigente;77575300-5;eltit_dte_09@empresaseltit.cl;33;Factura Electronica;369823;2026-07-06;9341532;92065000-7;IND  METALURGICA URSUS TROTTER S A;proveedores@ursustrotter.cl;76072472-6;FACTORING BANINTER S A;banninter@recepcione.cl;2026-07-28T01:02:42;9341532;2026-08-05;52342377
76519713-9;Cesion Vigente;77575300-5;JMONTECINOS@GMAIL.COM;33;Factura Electronica;3132;2026-07-28;2881109;76519713-9;AM DECO SPA;AMDECOSPA@GMAIL.COM;76682670-9;SERVICIOS FINANCIEROS GEROS LIMITADA;AMDECOSPA@GMAIL.COM;2026-07-28T11:13:34;2881109;2026-09-11;52335841
76376142-8;Cesion Vigente;77575300-5;jmontecinos@eltit.cl;33;Factura Electronica;2590;2026-07-28;249900;76376142-8;ACTYON SPA;actyonspa@gmail.com;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-28T11:15:11;249900;2026-08-27;52335889
76376142-8;Cesion Vigente;77575300-5;jmontecinos@eltit.cl;33;Factura Electronica;2591;2026-07-28;421274;76376142-8;ACTYON SPA;actyonspa@gmail.com;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-28T11:15:30;421274;2026-08-27;52335931
76376142-8;Cesion Vigente;77575300-5;jmontecinos@eltit.cl;33;Factura Electronica;2592;2026-07-28;3439100;76376142-8;ACTYON SPA;actyonspa@gmail.com;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-28T11:15:47;3439100;2026-08-27;52335915
76376142-8;Cesion Vigente;77575300-5;jmontecinos@eltit.cl;33;Factura Electronica;2593;2026-07-28;978394;76376142-8;ACTYON SPA;actyonspa@gmail.com;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-28T11:16:51;978394;2026-08-27;52335962
76376142-8;Cesion Vigente;77575300-5;jmontecinos@eltit.cl;33;Factura Electronica;2594;2026-07-28;227052;76376142-8;ACTYON SPA;actyonspa@gmail.com;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-28T11:17:02;227052;2026-08-27;52335989
77859490-0;Cesion Vigente;77575300-5;;33;Factura Electronica;242518;2026-07-27;1205752;77859490-0;NOVOPLAST SPA;asfafa@gmail.com;97036000-K;Banco Santander Chile;mmontero@santander.cl;2026-07-28T11:38:18;1205752;2026-09-03;52337469
76376142-8;Cesion Vigente;77575300-5;JMONTECINOS@ELTIT.CL;33;Factura Electronica;2595;2026-07-29;4032482;76376142-8;ACTYON SPA;ACTYONSPA@GMAIL.COM;76682670-9;SERVICIO FINANCIEROS GEROS LTDA;FCONTRERAS@GEROSLTDA.CL;2026-07-29T11:10:06;4032482;2026-08-28;52355222
